A,B,C,D,E,F,G
商品编号,商品名称,二级分类,三级分类,首次入库时间,销量7天band,点击7天band
11188612,北大版新HSK应试辅导丛书·走进NEW HSK：新汉语水平考试全真模拟试题及题解（4级2）（附MP3光盘1张）,考试,汉语/小语种考试,2013/3/11,F,F
11195585,孩子必读中华历史文化故事（套装全8卷）,童书,科普/百科,2013/3/18,F,E
11215625,走向马克思主义阐释学：詹姆逊的阐释学研究,哲学/宗教,哲学理论与流派,2013/4/12,F,F
11241890,VI设计/21世纪全国高等院校艺术设计系列实用规划教材,大中专教材教辅,大学教材,2013/5/24,F,F
11241901,交通工程基础/21世纪全国本科院校土木建筑类创新型应用人才培养规划教材,大中专教材教辅,大学教材,2013/5/24,F,F
11252487,元代传播考：概貌、问题及限度,历史,中国史,2013/6/7,F,F
11255687,大美阅读·中国古典诗文系列：最美的元曲,文学,戏剧曲艺,2013/6/10,F,E
11282116,中国美育年鉴（2012）,社会科学,社会学,2013/7/21,F,F
11284645,幸福不用回答,励志与成功,女性励志,2013/7/26,F,F
11287791,公共治理结构中的企业社会责任：基于社会防卫的治理,社会科学,社会结构和社会关系,2013/7/31,F,E
11295604,北京大学中国经济研究中心研究系列·加工贸易与中国企业生产率：企业异质性理论和实证研究,经济,贸易经济,2013/8/11,F,F
11300106,薪酬管理：理论、制度与方法/21世纪经济与管理精编教材·工商管理系列,大中专教材教辅,大学教材,2013/8/18,F,F
11305624,沙发图书馆·星经典·牛津六讲：人类学与古典学,社会科学,人类学,2013/8/23,E,E
11311118,计算机操作系统原理教程与实训（第2版）/21世纪全国高职高专计算机系列实用规划教材,大中专教材教辅,大学教材,2013/9/1,F,F
11311121,影视俄语视听教程/21世纪大学俄语系列教材,外语学习,俄语,2013/9/1,F,F
11315483,中国生态补偿立法：路在前方,法律,理论法学,2013/9/6,F,E
11315509,京华学术文库·乐府诗音乐形态研究：以曲调考察为中心,文学,文学评论与研究,2013/9/6,F,E
11320438,建筑识图与房屋构造/21世纪全国高职高专土建系列工学结合型规划教材·高职高专“十二五”规划教材·公共课,大中专教材教辅,高职高专教材,2013/9/14,F,F
11320454,天然药物化学,大中专教材教辅,大学教材,2013/9/14,F,F
11327817,中国保险业发展报告2013,金融与投资,保险,2013/9/28,F,E
11337951,博物馆之旅：中南及台湾地区博物馆镇馆之宝,艺术,鉴赏收藏,2013/10/19,F,F
11355285,海峡西岸经济区发展报告2013,经济,中国经济,2013/11/20,F,F
11367191,未名·幽雅阅读丛书·水远山长：汉字清幽的意境（第2版）,社会科学,语言文字,2013/12/6,E,E
11367193,未名·幽雅阅读丛书·恰如灯下故人：谛听中国瓷器妙音（第2版）,文化,民族文化,2013/12/6,F,E
11376374,科学素养文库·科学元典丛书 ：大脑两半球机能讲义,科学与自然,生物科学,2013/12/21,E,E
11397018,私人律师丛书：如何开办公司（第2版）,法律,法律实务,2014/1/23,E,E
11412753,北京大学科技史与科技哲学丛书·自主性技术：作为政治思想主题的失控技术,政治/军事,政治理论,2014/3/1,E,E
11416873,财务分析教程（第2版）/普通高等教育“十一五”国家级规划教材,大中专教材教辅,大学教材,2014/3/6,F,F
11419392,基础会计实务/高职高专“十二五”规划教材·21世纪高职高专能力本位型系列规划教材·财务会计系列,大中专教材教辅,高职高专教材,2014/3/8,F,F
11422356,广告策划与管理:原理、案例与项目实训,大中专教材教辅,大学教材,2014/3/14,F,F
11422372,仪器分析教程（第2版）/普通高等教育“十一五”国家级规划教材,大中专教材教辅,大学教材,2014/3/14,F,F
11427680,博雅文学丛书：中国早期小说考辨,文学,文学评论与研究,2014/3/21,F,E
11446820,建筑工程计量与计价：透过案例学造价（第2版）/高职高专“十二五”规划教材·工程管理,大中专教材教辅,高职高专教材,2014/4/18,F,F
11446821,特殊土地基处理/21世纪全国本科院校土木建筑类创新型应用人才培养规划教材,大中专教材教辅,大学教材,2014/4/18,F,F
11446934,全球史中的文化中国,历史,中国史,2014/4/18,F,E
11458356,影视非线性编辑（第二版）/21世纪全国高校应用人才培养规划教材,艺术,影视,2014/5/10,F,F
11462185,现代企业管理（第2版）,大中专教材教辅,高职高专教材,2014/5/17,F,F
11476578,高等数学（上册）,大中专教材教辅,大学教材,2014/6/7,F,F
11489215,孙明经眼中的老北京,摄影,摄影集/图册,2014/6/29,F,E
11493892,广告营销策划经典案例分析（第二版）,管理,市场营销,2014/7/5,E,E
11504997,认知神经科学导论,大中专教材教辅,大学教材,2014/7/22,E,E
11511827,学会创造：创意思考,大中专教材教辅,大学教材,2014/8/2,F,F
11511914,逆写帝国：后殖民文学的理论与实践,文学,文学理论,2014/8/2,F,E
11512118,北京大学数学教学系列丛书：寿险精算基础,金融与投资,保险,2014/8/6,E,E
11512596,罗马政制史（第二卷）,历史,世界史,2014/8/2,E,E
11516492,创业基础：理论应用与实训实练,大中专教材教辅,大学教材,2014/8/8,F,F
11531883,环境法学（第三版）/普通高等教育“十一五”国家级规划教材·面向21世纪课程教材,大中专教材教辅,大学教材,2014/8/28,E,E
11545113,宪法（第三版）,大中专教材教辅,大学教材,2014/9/19,F,F
11545118,动态经济学方法（第三版）,大中专教材教辅,大学教材,2014/9/19,E,E
11545567,堂·吉诃德的幽灵,文学,文学评论与研究,2014/9/19,F,F
11550160,高等凝聚态物理（英文影印版）,科学与自然,物理学,2014/9/27,F,E
11550162,有限温度玻色凝聚气体（英文影印版）,科学与自然,物理学,2014/9/27,F,E
11557425,国家教师资格考试指导教材：教育知识与能力（中学）,考试,教师类考试,2014/10/12,F,E
11561054,社会变革中的民事诉讼（增订版）,法律,诉讼法,2014/10/20,F,E
11561058,中国民俗文化发展报告2013,文化,民俗文化,2014/10/20,F,F
11564214,动物行为学（第二版）,科学与自然,生物科学,2014/10/24,D,D
11565630,供应链系统结构的评价模型及其应用,管理,供应链管理,2014/10/25,F,F
11598202,偏微分方程/北京大学数学教学系列丛书·普通高等教育“十一五”国家级规划教材,大中专教材教辅,大学教材,2014/12/22,E,D
11605686,猎豹的眼泪,科学与自然,生物科学,2015/1/2,F,E
11612274,画外随笔：写给学画的中老年朋友,绘画,绘画技法,2015/1/9,F,F
11614376,中国古代诗歌与戏剧互为体用研究,文学,文学理论,2015/1/10,E,E
11631708,中外物理学精品书系：超冷量子气体,科学与自然,物理学,2015/1/24,F,E
11631726,拉丁语标准词汇学习手册,字典词典/工具书,其他语种词典,2015/1/24,E,E
11645779,名家通识讲座书系：审美阅读十五讲,文学,文学评论与研究,2015/2/3,E,D
11645797,强调范畴及其若干句法研究,社会科学,语言文字,2015/2/3,F,F
11662922,当图书成为武器：日瓦戈事件,历史,世界史,2015/3/20,F,E
11665982,商务礼仪与谈判,大中专教材教辅,大学教材,2015/3/23,F,E
11674362,古逸丛书研究,历史,中国史,2015/4/16,E,E
11682897,城市野趣：一步一花,科学与自然,生物科学,2015/5/3,E,E
11688710,科举与传播：中国俗文学研究,文学,中国文学,2015/5/18,F,E
11711418,中国对外贸易概论,大中专教材教辅,大学教材,2015/6/19,F,E
